,車種,車次,始發站,終點站,出發時間,抵達時間,行駛時間,經由,詳細資訊,全票,孩童票,敬老票,訂票
0,區間,2133,基隆,嘉義,05:03,06:44,1 小時 41 分,山線,詳細,$ 98,$ 49,$ 49,
1,區間,1117,基隆,苗栗,05:29,07:14,1 小時 45 分,山線,詳細,$ 98,$ 49,$ 49,
2,區間,1121,基隆,新竹,05:55,07:27,1 小時 32 分,-,詳細,$ 98,$ 49,$ 49,
3,自強,105,基隆,屏東,06:12,07:42,1 小時 30 分,山線,詳細,$ 153,$ 77,$ 77,
4,區間,2143,基隆,嘉義,06:17,07:52,1 小時 35 分,山線,詳細,$ 98,$ 49,$ 49,
5,區間快,2007,基隆,二水,06:36,08:06,1 小時 30 分,海線,詳細,$ 98,$ 49,$ 49,
6,區間,1127,基隆,苗栗,06:41,08:15,1 小時 34 分,山線,詳細,$ 98,$ 49,$ 49,
7,區間,1129,基隆,北湖,07:00,08:40,1 小時 40 分,-,詳細,$ 98,$ 49,$ 49,
8,區間,2153,基隆,嘉義,07:12,08:58,1 小時 46 分,山線,詳細,$ 98,$ 49,$ 49,
9,區間,1135,基隆,北湖,07:24,09:13,1 小時 49 分,-,詳細,$ 98,$ 49,$ 49,
10,自強,109,基隆,彰化,07:34,08:52,1 小時 18 分,海線,詳細,$ 153,$ 77,$ 77,
11,區間,1137,基隆,苗栗,07:44,09:21,1 小時 37 分,山線,詳細,$ 98,$ 49,$ 49,
12,區間,1141,基隆,新竹,07:56,09:35,1 小時 39 分,-,詳細,$ 98,$ 49,$ 49,
13,自強,115,基隆,屏東,08:14,09:42,1 小時 28 分,山線,詳細,$ 153,$ 77,$ 77,
14,區間,2163,基隆,嘉義,08:19,09:53,1 小時 34 分,山線,詳細,$ 98,$ 49,$ 49,
15,區間,1147,基隆,苗栗,08:39,10:17,1 小時 38 分,山線,詳細,$ 98,$ 49,$ 49,
16,區間,1151,基隆,新竹,08:52,10:36,1 小時 44 分,-,詳細,$ 98,$ 49,$ 49,
17,區間,2173,基隆,嘉義,09:21,10:52,1 小時 31 分,山線,詳細,$ 98,$ 49,$ 49,
18,自強3000,117,基隆,潮州,09:35,10:57,1 小時 22 分,山線,詳細,$ 153,$ 77,$ 77,
19,區間,1157,基隆,苗栗,09:40,11:12,1 小時 32 分,山線,詳細,$ 98,$ 49,$ 49,
20,區間,1161,基隆,新竹,10:00,11:32,1 小時 32 分,-,詳細,$ 98,$ 49,$ 49,
21,區間,2183,基隆,嘉義,10:20,11:53,1 小時 33 分,山線,詳細,$ 98,$ 49,$ 49,
22,區間,1167,基隆,北湖,10:45,12:16,1 小時 31 分,-,詳細,$ 98,$ 49,$ 49,
23,區間,2193,基隆,嘉義,11:15,12:52,1 小時 37 分,山線,詳細,$ 98,$ 49,$ 49,
